X	Locus.Identifier	length	logFC	logCPM	PValue	FDR
AT2G25900	AT2G25900.1	1785	-4.499132062	4.40466502	4.25E-119	7.64E-115
AT1G23390	AT1G23390.1	1537	-4.053826037	5.018239746	6.79E-118	6.11E-114
AT2G29500	AT2G29500.1	714	9.20663267	11.57246933	2.05E-114	1.23E-110
AT2G21130	AT2G21130.1	834	4.580982508	6.107624393	6.73E-95	3.03E-91
AT5G19190	AT5G19190.1	665	-3.842464599	4.097133511	7.38E-91	2.66E-87
AT3G46230	AT3G46230.1	723	9.52299366	11.04966784	2.30E-84	6.88E-81
AT1G72150	AT1G72150.1	2144	-2.679414118	7.302248121	2.69E-80	6.91E-77
AT5G12020	AT5G12020.1	701	9.602552547	10.71251346	6.60E-80	1.48E-76
AT5G51440	AT5G51440.1	908	8.225569641	9.609664133	2.21E-79	4.42E-76
AT2G37180	AT2G37180.1	1143	3.440469524	8.859663898	3.01E-78	5.03E-75
AT5G12110	AT5G12110.1	932	5.868872899	9.98876422	3.08E-78	5.03E-75
AT5G64510	AT5G64510.1	1615	5.037655767	7.213971896	1.47E-75	2.20E-72
AT3G12580	AT3G12580.1	2280	7.306468615	12.08704801	3.14E-74	4.35E-71
AT5G61590	AT5G61590.1	886	-4.315107173	4.045687915	3.51E-74	4.51E-71
AT2G32100	AT2G32100.1	933	-3.523122451	3.061677696	1.35E-73	1.62E-70
AT1G53540	AT1G53540.1	647	9.823624257	11.06000891	1.40E-72	1.58E-69
AT4G19170	AT4G19170.1	2071	-2.558014879	7.030585911	1.03E-66	1.09E-63
AT1G09140	AT1G09140.1	1261	3.47530175	8.111442256	2.64E-65	2.64E-62
AT5G42020	AT5G42020.1	2381	2.769266235	10.01571202	7.46E-65	7.07E-62
AT1G04980	AT1G04980.1	1584	2.759165191	6.44760104	1.59E-64	1.43E-61
AT1G07400	AT1G07400.1	815	8.510265709	10.52515408	7.61E-64	6.35E-61
AT1G70290	AT1G70290.1	3015	-2.891392637	4.965043749	7.76E-64	6.35E-61
AT4G12735	AT4G12735.1	518	6.247523163	3.599979592	1.91E-61	1.50E-58
AT5G48570	AT5G48570.1	2117	7.873449818	11.36116879	2.54E-61	1.91E-58
